,Path,Transcript,Predict
0,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0008.flac,it seemed to me that he despised him for being so simple and docile,e ee
1,/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0029.flac,he did manage to bring himself into the mood to go out to carrie but when he got in ogden place he thought he saw a man watching him and went away,e ee t e a
2,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0003.flac,we lay still and did not talk,e
3,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0027.flac,yes how many,
4,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0014.flac,he could stand right up and talk to you he could did he fight hard,e ee
5,/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0009.flac,the boy hastened away and the manager fell to his musings,e a
6,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0008.flac,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed,e ee t e a
7,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0025.flac,he arose from his chair and went and looked out into the street,e a
8,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0024.flac,he knew her well enough to know that when she had decided upon a plan she would follow it up,e ee t e
9,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0017.flac,mister shimerda went with him,e
10,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0016.flac,fortunately there was nothing from his wife either,e h
11,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0018.flac,after the ceremony at the church the party went to a dinner given by the parents of the bride,e ee t
12,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0006.flac,he could arrange that satisfactorily for carrie would be glad to wait if necessary,e ee t e
13,/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0012.flac,minnie began to explain but her husband took this part of the conversation to himself,e ee t
14,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0034.flac,wherever they went the story followed them,e
15,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0001.flac,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,e a t e o i
16,/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0006.flac,the walls of the rooms were discordantly papered,e ee
17,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0003.flac,there had been another black frost the night before and the air was clear and heady as wine,e ee t
18,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0015.flac,otto winked at me,e
19,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0010.flac,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times,e ee t e a o e
20,/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0017.flac,a shop girl was the destiny prefigured for the newcomer,e h
21,/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0023.flac,something had to be done a climax was near and she would not sit idle,e ee t
22,/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0021.flac,he saw a busy saturday ushered out the sabbath in and nothing done,e ee t
23,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0028.flac,twenty thirty enough,e
24,/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0012.flac,if he only had that letter back he wouldn't send it,e ee
25,/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0011.flac,the barren rock about three miles in length was covered with monastic buildings and its cemetery was already adorned with the tombs of saints and kings,e ee t e a e
26,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0013.flac,otto fuchs was the first one we met,e
27,/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0001.flac,the ancestors of the present pretender congal surnamed the squint eyed had twice received and cherished the licentious bards when under the ban of tara and his popularity with that still powerful order was one prop of his ambition,e ee t e a e t e t
28,/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0030.flac,he did not go within a block of the house,e
29,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0019.flac,the first howls were taken up and echoed and with quickening repetitions,e ee t
30,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0011.flac,we decided that antonia should ride dude home and i would walk,e ee
31,/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0013.flac,while the liberated exiles rejoiced on the plain of meath the tent of the abbot of iona was pitched on the rath of tara a fact which would seem to indicate that already in little more than a century since the interdict had fallen on it the edifices which made so fine a show in the days of patrick were ruined and uninhabitable,e a t e o i e t e t e t
32,/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0012.flac,i followed with the spade over my shoulder dragging my snake,e ee
33,/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0030.flac,pavel knocked him over the side of the sledge and threw the girl after him,e t
