Path,Transcript
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0008.flac,it seemed to me that he despised him for being so simple and docile
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0029.flac,he did manage to bring himself into the mood to go out to carrie but when he got in ogden place he thought he saw a man watching him and went away
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0003.flac,we lay still and did not talk
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0027.flac,yes how many
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0014.flac,he could stand right up and talk to you he could did he fight hard
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0009.flac,the boy hastened away and the manager fell to his musings
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0008.flac,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0025.flac,he arose from his chair and went and looked out into the street
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0024.flac,he knew her well enough to know that when she had decided upon a plan she would follow it up
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0017.flac,mister shimerda went with him
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0016.flac,fortunately there was nothing from his wife either
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0018.flac,after the ceremony at the church the party went to a dinner given by the parents of the bride
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0006.flac,he could arrange that satisfactorily for carrie would be glad to wait if necessary
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0012.flac,minnie began to explain but her husband took this part of the conversation to himself
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0034.flac,wherever they went the story followed them
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0001.flac,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0006.flac,the walls of the rooms were discordantly papered
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0003.flac,there had been another black frost the night before and the air was clear and heady as wine
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0015.flac,otto winked at me
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0010.flac,i explained to antonia how this meant that he was twenty four years old that he must have been there when white men first came left on from buffalo and indian times
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0017.flac,a shop girl was the destiny prefigured for the newcomer
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0023.flac,something had to be done a climax was near and she would not sit idle
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0021.flac,he saw a busy saturday ushered out the sabbath in and nothing done
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0028.flac,twenty thirty enough
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0012.flac,if he only had that letter back he wouldn't send it
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0011.flac,the barren rock about three miles in length was covered with monastic buildings and its cemetery was already adorned with the tombs of saints and kings
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0013.flac,otto fuchs was the first one we met
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0001.flac,the ancestors of the present pretender congal surnamed the squint eyed had twice received and cherished the licentious bards when under the ban of tara and his popularity with that still powerful order was one prop of his ambition
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0030.flac,he did not go within a block of the house
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0019.flac,the first howls were taken up and echoed and with quickening repetitions
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0011.flac,we decided that antonia should ride dude home and i would walk
